Method,Day,Value,Std
CFR-RL,Day2,0.8738592041275315,0.03348749230235207
CFR-RL,Day3,0.8378514397920104,0.03106452733737488
CFR-RL,Day5,0.8750027209857582,0.03644090962193706
CFR-RL,Day6,0.8433518762412814,0.02486130273387278
Top-k critical,Day2,0.7648176115768964,0.04263728430219068
Top-k critical,Day3,0.7471276015975507,0.03711178214772315
Top-k critical,Day5,0.8157591002808806,0.035889549046406996
Top-k critical,Day6,0.7773437185690871,0.04124713300035692
Top-k,Day2,0.6797779942978427,0.061301030419241655
Top-k,Day3,0.7201541190187636,0.06048737377088647
Top-k,Day5,0.7052152074006178,0.059143501986644545
Top-k,Day6,0.6878670641239053,0.06355057850401301
ECMP,Day2,0.5193201591481498,0.027896605216827308
ECMP,Day3,0.5481990014555433,0.035818263905332805
ECMP,Day5,0.5364742950395885,0.030742432849598135
ECMP,Day6,0.5260423034194087,0.033161234427691276
