Method,Day,Value,Std
CFR-RL,Day2,0.96473,0.02196
CFR-RL,Day3,0.9380749701754088,0.020324582974397626
CFR-RL,Day5,0.9155670203219631,0.018764088026262147
CFR-RL,Day6,0.9540124943148292,0.023065526401615195
Top-k critical,Day2,0.90253,0.03971
Top-k critical,Day3,0.88065306175785157,0.03925512879541868
Top-k critical,Day5,0.8642381693249397,0.03627067532164192
Top-k critical,Day6,0.8874978826061369,0.03611471291888757
Top-k,Day2,0.80144,0.04332
Top-k,Day3,0.789290738157925,0.05119525964900151
Top-k,Day5,0.8246265794454647,0.04553730285848811
Top-k,Day6,0.8001225559118467,0.04205295907271131
ECMP,Day2,0.64341,0.04052
ECMP,Day3,0.6545770362189931,0.04492240889218364
ECMP,Day5,0.6553158951147181,0.037702168013066674
ECMP,Day6,0.6426252867609512,0.04186346774524561
